2023-09-30 15:20:10,525.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,525.FoodA_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:10,526.FoodA_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:10,526.FoodA_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:10,527.FoodA_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:10,527.FoodA_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:10,528.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,543.FoodA_consumer.INFO  [*] Ready for work. To exit press CTRL+C
2023-09-30 15:20:10,543.FoodA_consumer.INFO  [x] Received 05/22/21 13:55:45,No temperature
2023-09-30 15:20:10,543.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,544.FoodA_consumer.INFO  [x] Received 05/22/21 13:56:10,No temperature
2023-09-30 15:20:10,544.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,549.FoodA_consumer.INFO  [x] Received 05/22/21 13:56:15,No temperature
2023-09-30 15:20:10,549.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,550.FoodA_consumer.INFO  [x] Received 05/22/21 13:56:35,40.6
2023-09-30 15:20:10,551.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,551.FoodA_consumer.INFO  [x] Received 05/22/21 13:56:40,40.6
2023-09-30 15:20:10,552.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,552.FoodA_consumer.INFO  [x] Received 05/22/21 13:56:45,No temperature
2023-09-30 15:20:10,552.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,553.FoodA_consumer.INFO  [x] Received 05/22/21 13:57:10,No temperature
2023-09-30 15:20:10,553.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,554.FoodA_consumer.INFO  [x] Received 05/22/21 13:57:15,No temperature
2023-09-30 15:20:10,554.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,555.FoodA_consumer.INFO  [x] Received 05/22/21 13:57:35,41.4
2023-09-30 15:20:10,556.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,556.FoodA_consumer.INFO  [x] Received 05/22/21 13:57:40,41.4
2023-09-30 15:20:10,557.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,557.FoodA_consumer.INFO  [x] Received 05/22/21 13:57:45,No temperature
2023-09-30 15:20:10,558.FoodA_consumer.INFO  [x] Done.
