2023-09-30 15:20:30,768.FoodB_consumer.INFO ==================================================
2023-09-30 15:20:30,768.FoodB_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:30,769.FoodB_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:30,769.FoodB_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:30,770.FoodB_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:30,771.FoodB_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:30,771.FoodB_consumer.INFO ==================================================
2023-09-30 15:20:30,786.FoodB_consumer.INFO  [*] Ready for work. To exit press CTRL+C
2023-09-30 15:20:30,787.FoodB_consumer.INFO  [x] Received 05/22/21 13:57:10,No temperature
2023-09-30 15:20:30,787.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,789.FoodB_consumer.INFO  [x] Received 05/22/21 13:57:15,No temperature
2023-09-30 15:20:30,789.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,794.FoodB_consumer.INFO  [x] Received 05/22/21 13:57:35,No temperature
2023-09-30 15:20:30,795.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,795.FoodB_consumer.INFO  [x] Received 05/22/21 13:57:40,36.7
2023-09-30 15:20:30,796.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,797.FoodB_consumer.INFO  [x] Received 05/22/21 13:57:45,36.7
2023-09-30 15:20:30,797.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,798.FoodB_consumer.INFO  [x] Received 05/22/21 13:58:10,No temperature
2023-09-30 15:20:30,798.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,799.FoodB_consumer.INFO  [x] Received 05/22/21 13:58:15,No temperature
2023-09-30 15:20:30,799.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,800.FoodB_consumer.INFO  [x] Received 05/22/21 13:58:35,No temperature
2023-09-30 15:20:30,800.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,801.FoodB_consumer.INFO  [x] Received 05/22/21 13:58:40,37.1
2023-09-30 15:20:30,801.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,801.FoodB_consumer.INFO  [x] Received 05/22/21 13:58:45,37.1
2023-09-30 15:20:30,802.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,802.FoodB_consumer.INFO  [x] Received 05/22/21 13:59:10,No temperature
2023-09-30 15:20:30,802.FoodB_consumer.INFO  [x] Done.
