2023-09-30 15:19:29,209.Smoker_producer.INFO ==================================================
2023-09-30 15:19:29,210.Smoker_producer.INFO Today is 2023-09-30 at 03:19 PM
2023-09-30 15:19:29,210.Smoker_producer.INFO Running on: nt Windows 10
2023-09-30 15:19:29,211.Smoker_producer.INFO Python version:  3.9.12
2023-09-30 15:19:29,211.Smoker_producer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:19:29,211.Smoker_producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:19:29,211.Smoker_producer.INFO ==================================================
2023-09-30 15:19:29,237.Smoker_producer.INFO  [x] Sent b'05/22/21 12:20:15,84.2'
2023-09-30 15:19:29,245.Smoker_producer.INFO  [x] Sent b'05/22/21 12:20:15,No temperature'
2023-09-30 15:19:29,253.Smoker_producer.INFO  [x] Sent b'05/22/21 12:20:15,No temperature'
2023-09-30 15:19:30,268.Smoker_producer.INFO  [x] Sent b'05/22/21 12:20:20,84.2'
2023-09-30 15:19:30,274.Smoker_producer.INFO  [x] Sent b'05/22/21 12:20:20,No temperature'
2023-09-30 15:19:30,280.Smoker_producer.INFO  [x] Sent b'05/22/21 12:20:20,No temperature'
2023-09-30 15:19:31,292.Smoker_producer.INFO  [x] Sent b'05/22/21 12:21:10,87.6'
2023-09-30 15:19:31,298.Smoker_producer.INFO  [x] Sent b'05/22/21 12:21:10,No temperature'
2023-09-30 15:19:31,303.Smoker_producer.INFO  [x] Sent b'05/22/21 12:21:10,No temperature'
2023-09-30 15:19:32,317.Smoker_producer.INFO  [x] Sent b'05/22/21 12:21:15,87.6'
2023-09-30 15:19:32,323.Smoker_producer.INFO  [x] Sent b'05/22/21 12:21:15,No temperature'
2023-09-30 15:19:32,330.Smoker_producer.INFO  [x] Sent b'05/22/21 12:21:15,No temperature'
2023-09-30 15:19:33,349.Smoker_producer.INFO  [x] Sent b'05/22/21 12:22:10,86.3'
2023-09-30 15:19:33,356.Smoker_producer.INFO  [x] Sent b'05/22/21 12:22:10,No temperature'
2023-09-30 15:19:33,360.Smoker_producer.INFO  [x] Sent b'05/22/21 12:22:10,No temperature'
2023-09-30 15:19:34,370.Smoker_producer.INFO  [x] Sent b'05/22/21 12:22:15,86.3'
2023-09-30 15:19:34,378.Smoker_producer.INFO  [x] Sent b'05/22/21 12:22:15,No temperature'
2023-09-30 15:19:34,385.Smoker_producer.INFO  [x] Sent b'05/22/21 12:22:15,No temperature'
2023-09-30 15:19:35,399.Smoker_producer.INFO  [x] Sent b'05/22/21 12:23:10,92.0'
2023-09-30 15:19:35,406.Smoker_producer.INFO  [x] Sent b'05/22/21 12:23:10,No temperature'
2023-09-30 15:19:35,411.Smoker_producer.INFO  [x] Sent b'05/22/21 12:23:10,No temperature'
2023-09-30 15:19:36,425.Smoker_producer.INFO  [x] Sent b'05/22/21 12:23:15,92.0'
2023-09-30 15:19:36,434.Smoker_producer.INFO  [x] Sent b'05/22/21 12:23:15,No temperature'
2023-09-30 15:19:36,440.Smoker_producer.INFO  [x] Sent b'05/22/21 12:23:15,No temperature'
2023-09-30 15:19:37,452.Smoker_producer.INFO  [x] Sent b'05/22/21 12:24:10,96.8'
2023-09-30 15:19:37,458.Smoker_producer.INFO  [x] Sent b'05/22/21 12:24:10,No temperature'
2023-09-30 15:19:37,463.Smoker_producer.INFO  [x] Sent b'05/22/21 12:24:10,No temperature'
2023-09-30 15:19:38,478.Smoker_producer.INFO  [x] Sent b'05/22/21 12:24:15,96.8'
2023-09-30 15:19:38,484.Smoker_producer.INFO  [x] Sent b'05/22/21 12:24:15,No temperature'
2023-09-30 15:19:38,493.Smoker_producer.INFO  [x] Sent b'05/22/21 12:24:15,No temperature'
