2023-09-29 23:47:26,216.v1_emitter_of_smoker_tasks.INFO ==================================================
2023-09-29 23:47:26,217.v1_emitter_of_smoker_tasks.INFO Today is 2023-09-29 at 11:47 PM
2023-09-29 23:47:26,218.v1_emitter_of_smoker_tasks.INFO Running on: nt Windows 10
2023-09-29 23:47:26,218.v1_emitter_of_smoker_tasks.INFO Python version:  3.9.12
2023-09-29 23:47:26,219.v1_emitter_of_smoker_tasks.INFO Python path: C:\Users\alhal\miniconda3
2023-09-29 23:47:26,219.v1_emitter_of_smoker_tasks.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-29 23:47:26,220.v1_emitter_of_smoker_tasks.INFO ==================================================
2023-09-29 23:47:26,255.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:20:15,84.2'
2023-09-29 23:47:26,274.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:20:15,No temperature'
2023-09-29 23:47:26,284.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:20:15,No temperature'
2023-09-29 23:47:27,306.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:20:20,84.2'
2023-09-29 23:47:27,328.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:20:20,No temperature'
2023-09-29 23:47:27,339.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:20:20,No temperature'
2023-09-29 23:47:28,361.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:21:10,87.6'
2023-09-29 23:47:28,400.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:21:10,No temperature'
2023-09-29 23:47:28,410.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:21:10,No temperature'
2023-09-29 23:47:29,438.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:21:15,87.6'
2023-09-29 23:47:29,462.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:21:15,No temperature'
2023-09-29 23:47:29,471.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:21:15,No temperature'
2023-09-29 23:47:30,493.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:22:10,86.3'
2023-09-29 23:47:30,513.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:22:10,No temperature'
2023-09-29 23:47:30,522.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:22:10,No temperature'
2023-09-29 23:47:31,541.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:22:15,86.3'
2023-09-29 23:47:31,552.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:22:15,No temperature'
2023-09-29 23:47:31,561.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:22:15,No temperature'
2023-09-29 23:47:32,593.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:23:10,92.0'
2023-09-29 23:47:32,634.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:23:10,No temperature'
2023-09-29 23:47:32,645.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:23:10,No temperature'
2023-09-29 23:47:33,663.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:23:15,92.0'
2023-09-29 23:47:33,683.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:23:15,No temperature'
2023-09-29 23:47:33,695.v1_emitter_of_smoker_tasks.INFO  [x] Sent b'05/22/21 12:23:15,No temperature'
